EO	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90
EO18	10	0.000	954	16.0	0.288	0.001	1366	16.0	0.358	0.004	2370	16.0	0.391	0.010
EO18	20	0.000	834	16.0	0.289	0.001	1162	16.0	0.350	0.003	1562	16.0	0.379	0.006
EO18	50	0.000	747	16.0	0.275	0.001	1204	16.0	0.336	0.002	1860	16.0	0.397	0.005
EO25	10	0.000	605	14.0	0.349	0.001	853	14.0	0.380	0.002	1677	14.0	0.429	0.006
EO25	20	0.000	523	14.0	0.323	0.000	683	14.0	0.381	0.001	1418	14.0	0.411	0.003
EO25	50	0.000	518	14.0	0.349	0.000	870	14.0	0.392	0.001	1585	14.0	0.431	0.003
EO27	10	0.000	2175	21.0	0.346	0.004	2872	21.0	0.391	0.005	4183	21.0	0.420	0.007
EO27	20	0.000	1795	21.0	0.355	0.001	3174	21.0	0.390	0.002	4538	21.0	0.418	0.004
EO27	50	0.000	1627	21.0	0.343	0.001	3363	21.0	0.389	0.002	4250	21.0	0.440	0.004
EO67	10	0.000	38	11.0	0.151	0.000	54	11.0	0.210	0.006	88	11.0	0.268	0.017
EO67	20	0.000	34	11.0	0.148	0.000	53	11.0	0.197	0.005	75	11.0	0.255	0.018
EO67	50	0.000	39	11.0	0.133	0.000	55	11.0	0.204	0.002	81	11.0	0.251	0.015
EO70	10	0.000	317	6.0	0.068	0.045	572	6.0	0.076	0.078	830	6.0	0.082	0.092
EO70	20	0.000	404	6.0	0.067	0.053	644	6.0	0.074	0.066	1059	6.0	0.087	0.090
EO70	50	0.050	280	6.0	0.064	0.034	574	6.0	0.078	0.043	773	6.0	0.089	0.090
EO76	10	0.000	703	14.0	0.307	0.000	1276	14.0	0.357	0.002	2036	14.0	0.396	0.005
EO76	20	0.000	724	14.0	0.291	0.001	1160	14.0	0.340	0.002	2220	14.0	0.380	0.004
EO76	50	0.000	942	14.0	0.250	0.000	1434	14.0	0.317	0.003	2197	14.0	0.349	0.009
